#subID	 subGroupNr x	 y	 z	 vx	 yv	 yz	 vmax	 B_MAG V_MAG M_star
#subID	 groupID	 kpc	 kpc	 kpc	 km/s	 km/s	 km/s	 km/s	 mags mags 10^10Msun
411566 1282 67140.586159 11428.027760 65902.998491 43.861229 -173.168610 -191.729630 237.344681 -2.112082e+01 -2.177338e+01 8.535487e+00
411567 1282 67256.869229 11345.240506 65979.403409 85.616493 -25.824986 -92.290276 68.441986 -1.665647e+01 -1.710209e+01 5.627240e-02
411568 1282 67073.730469 11223.104304 65714.843750 -92.391724 -151.911530 -165.720001 34.663113 -1.129156e+01 -1.190478e+01 8.992230e-04
411569 1282 67215.942383 11368.931857 65991.482821 -118.035347 -323.268921 -140.725006 27.059498 -1.064469e+01 -1.127909e+01 5.500120e-04
411570 1282 67328.607733 11520.831021 66131.913619 74.833908 -259.612366 -72.231880 20.417364 1.000000e+37 1.000000e+37 0.000000e+00
411571 1282 67096.224698 11393.461748 65905.251243 -233.459656 -98.375618 -186.053345 32.010300 -1.170339e+01 -1.238845e+01 1.667861e-03
411572 1282 67002.646706 11535.272078 65989.818226 42.992020 -164.023468 -72.632278 25.303043 -1.133816e+01 -1.198921e+01 1.101826e-03
411573 1282 67438.520952 11500.851024 65844.726562 -34.603279 -215.211075 -47.691006 17.577831 1.000000e+37 1.000000e+37 0.000000e+00
411574 1282 67113.597523 11155.102816 65682.872425 111.607727 -143.183472 -118.994858 18.129120 1.000000e+37 1.000000e+37 0.000000e+00
411575 1282 67292.419434 11676.237627 65982.111151 99.421097 -162.801590 -187.296478 20.309090 -9.896625e+00 -1.046395e+01 2.439328e-04
411576 1282 66941.261985 11550.760443 65740.822532 -65.522179 -107.345528 -168.033859 13.591352 1.000000e+37 1.000000e+37 0.000000e+00
411577 1282 67078.041770 11197.054083 66004.932750 -63.808273 -244.252853 -191.534134 17.535282 1.000000e+37 1.000000e+37 0.000000e+00
411578 1282 66986.794212 11406.243064 65663.346724 164.496780 -31.971840 -154.012268 14.170789 1.000000e+37 1.000000e+37 0.000000e+00
411579 1282 67100.014426 11340.882735 65866.177646 -109.547905 -347.340729 -131.477600 17.276922 -8.489834e+00 -9.058195e+00 8.204170e-05
411580 1282 67064.125755 11132.462241 65961.853027 17.298582 -241.593079 -154.908325 10.052033 1.000000e+37 1.000000e+37 0.000000e+00
411581 1282 67023.925781 11353.309631 66004.205877 35.038273 -15.782321 -208.450287 17.896358 -8.411603e+00 -8.985369e+00 8.327167e-05
411582 1282 67371.421120 11310.879100 65998.019132 83.198044 -189.963669 -285.540344 18.019602 1.000000e+37 1.000000e+37 0.000000e+00
411583 1282 67027.488015 11421.089172 65960.637873 -0.382411 6.761100 -279.868378 17.195299 1.000000e+37 1.000000e+37 0.000000e+00
411584 1282 67228.093928 11499.204462 66011.874112 228.573883 -106.009148 -130.927460 11.287723 1.000000e+37 1.000000e+37 0.000000e+00
411585 1282 67061.451305 11563.686718 65917.879972 178.228867 -97.613655 -332.891083 14.494530 1.000000e+37 1.000000e+37 0.000000e+00
411586 1282 67210.837624 11406.668923 66062.988281 -32.708710 -84.794334 -155.513321 13.156506 -8.461965e+00 -9.028831e+00 7.846163e-05
411587 1282 67105.424361 11545.725736 65838.623047 -82.550667 -263.890167 -281.139526 14.686719 1.000000e+37 1.000000e+37 0.000000e+00
411588 1282 67278.220437 11632.453225 66000.255238 84.416161 -351.603241 -172.155930 9.734663 1.000000e+37 1.000000e+37 0.000000e+00
411589 1282 67197.393244 11414.038918 66140.292081 112.146942 -98.204132 -87.225143 10.455407 1.000000e+37 1.000000e+37 0.000000e+00
411590 1282 67216.291948 11433.821245 65793.973056 -206.533920 -184.109268 -120.677444 10.716634 1.000000e+37 1.000000e+37 0.000000e+00
411591 1282 67234.225186 11508.664218 65925.953258 4.747933 -377.406219 -268.555878 12.069957 -9.381595e+00 -1.000857e+01 1.710866e-04
411592 1282 67107.649370 11707.000732 65845.320268 176.815842 -110.889359 -217.359253 12.418875 1.000000e+37 1.000000e+37 0.000000e+00
411593 1282 67037.936124 11510.615956 65774.891246 -78.235214 -118.235542 -25.947205 12.969914 1.000000e+37 1.000000e+37 0.000000e+00
411594 1282 67172.729492 11231.828169 65867.009943 -99.192558 -42.639675 -129.043854 13.287664 1.000000e+37 1.000000e+37 0.000000e+00
411595 1282 66928.183816 11370.184465 65969.010787 116.231934 -89.041649 -257.636139 10.913029 1.000000e+37 1.000000e+37 0.000000e+00
411596 1282 67290.089000 11667.529019 65999.467330 46.240227 -260.062714 -285.644257 9.910643 1.000000e+37 1.000000e+37 0.000000e+00
