#subID	 subGroupNr x	 y	 z	 vx	 yv	 yz	 vmax	 B_MAG V_MAG M_star
#subID	 groupID	 kpc	 kpc	 kpc	 km/s	 km/s	 km/s	 km/s	 mags mags 10^10Msun
472985 532 12908.587369 88071.222479 49262.900613 -46.837425 -231.534637 152.200439 187.642639 0.000000e+00 0.000000e+00 0.000000e+00
472986 532 12933.468905 87470.875133 49427.972967 -80.512383 -78.591743 148.704391 145.771667 0.000000e+00 0.000000e+00 0.000000e+00
472987 532 12212.015325 87885.675604 49225.075462 93.572083 -141.989960 188.161575 143.291275 0.000000e+00 0.000000e+00 0.000000e+00
472988 532 13256.872004 87242.897727 49439.408736 -108.831535 -146.960373 123.462540 89.011528 0.000000e+00 0.000000e+00 0.000000e+00
472989 532 12158.802379 88174.427379 49385.842063 90.358452 -112.697327 66.047302 68.029762 0.000000e+00 0.000000e+00 0.000000e+00
472990 532 12993.653731 88164.262251 49028.680975 -217.837769 -325.276917 108.048294 75.043846 0.000000e+00 0.000000e+00 0.000000e+00
472991 532 12557.133068 87342.889959 49260.697798 12.492671 -126.521492 98.923264 45.171196 0.000000e+00 0.000000e+00 0.000000e+00
472992 532 12810.555198 87269.076261 49424.837979 -93.108940 -12.342463 226.867691 59.681492 0.000000e+00 0.000000e+00 0.000000e+00
472993 532 12770.868475 87457.070091 49371.437766 -62.328724 -152.176376 -12.061927 63.363884 0.000000e+00 0.000000e+00 0.000000e+00
472994 532 12529.542403 87734.780051 49309.059837 -13.883355 -149.100983 6.189815 48.868690 0.000000e+00 0.000000e+00 0.000000e+00
472995 532 12738.585039 87647.693981 49421.869451 22.935911 -201.943832 180.129852 53.544285 0.000000e+00 0.000000e+00 0.000000e+00
472996 532 12559.607766 87702.126243 49226.201838 -3.228097 -305.399323 64.962471 52.950020 0.000000e+00 0.000000e+00 0.000000e+00
472997 532 13023.624767 88280.772816 49108.237527 -186.437546 -323.257629 -29.575588 46.531651 0.000000e+00 0.000000e+00 0.000000e+00
472998 532 12796.991522 87379.560991 49223.066850 -122.640800 45.319439 79.901199 47.194447 0.000000e+00 0.000000e+00 0.000000e+00
472999 532 12918.554133 88153.986151 49186.007413 -101.866119 -31.261789 255.356949 61.607632 0.000000e+00 0.000000e+00 0.000000e+00
473000 532 12718.436501 87259.282892 49315.124512 -248.055023 0.372418 130.929504 42.445774 0.000000e+00 0.000000e+00 0.000000e+00
473001 532 12988.242409 87505.759499 49345.714222 -181.593887 -50.686279 82.386543 53.429142 0.000000e+00 0.000000e+00 0.000000e+00
473002 532 12752.903331 88134.477095 49597.745028 -131.645828 -303.818268 181.311249 41.319565 0.000000e+00 0.000000e+00 0.000000e+00
473003 532 12192.116477 87897.621848 49267.400568 -14.991453 -31.707565 127.832237 62.157730 0.000000e+00 0.000000e+00 0.000000e+00
473004 532 12993.391557 87579.096014 49379.771839 -272.459290 -42.352043 66.410095 50.035358 0.000000e+00 0.000000e+00 0.000000e+00
473005 532 12002.886685 87884.454901 49021.395597 -23.557220 -313.273804 124.086227 34.061523 0.000000e+00 0.000000e+00 0.000000e+00
473006 532 12032.727328 87808.144309 49327.786532 41.716167 -274.266052 168.793365 34.961224 0.000000e+00 0.000000e+00 0.000000e+00
473007 532 12985.948042 88300.403942 49096.663042 -177.691010 -367.936737 -37.247921 40.726135 0.000000e+00 0.000000e+00 0.000000e+00
473008 532 12606.104070 87636.141690 49310.369318 156.271072 -123.207962 134.222717 35.595924 0.000000e+00 0.000000e+00 0.000000e+00
473009 532 12820.176558 87307.578347 49394.731001 21.860973 -49.296410 315.830170 43.532181 0.000000e+00 0.000000e+00 0.000000e+00
473010 532 12937.282215 88194.768732 49197.237882 -20.693750 -477.459320 249.851700 40.506351 0.000000e+00 0.000000e+00 0.000000e+00
473011 532 13106.203946 88278.697621 49048.450817 -203.460922 -279.747406 -16.710485 35.527855 0.000000e+00 0.000000e+00 0.000000e+00
473012 532 12734.044855 87682.234331 49405.101429 15.041836 -186.640244 229.213989 41.940735 0.000000e+00 0.000000e+00 0.000000e+00
473013 532 12904.373169 88162.342418 49303.943981 -229.228973 -360.185120 117.119682 43.340515 0.000000e+00 0.000000e+00 0.000000e+00
473014 532 12065.899936 87850.130948 49221.779563 142.054916 -177.856659 91.860390 44.063171 0.000000e+00 0.000000e+00 0.000000e+00
473015 532 12556.500522 87506.164551 49435.979670 -59.076508 -46.995384 219.238281 35.506065 0.000000e+00 0.000000e+00 0.000000e+00
473016 532 12919.487693 87930.331143 49256.147905 -85.081001 -94.463394 352.760956 37.700035 0.000000e+00 0.000000e+00 0.000000e+00
473017 532 12456.680298 87647.549716 49399.147727 -105.110283 1.224339 167.688354 30.727674 0.000000e+00 0.000000e+00 0.000000e+00
473018 532 13203.786677 87453.530051 49450.800115 -90.032303 -71.124542 220.655991 38.847008 0.000000e+00 0.000000e+00 0.000000e+00
473019 532 12534.158880 87326.576926 49261.702104 23.276337 -125.620689 85.354332 38.101242 0.000000e+00 0.000000e+00 0.000000e+00
473020 532 12961.238514 87583.263050 49578.763095 -37.125195 -247.190918 143.104843 29.655333 0.000000e+00 0.000000e+00 0.000000e+00
473021 532 12763.506803 87474.331942 49597.728382 -134.931778 -138.376663 -1.027230 29.505848 0.000000e+00 0.000000e+00 0.000000e+00
473022 532 12718.412919 87231.595126 49246.132591 -255.600891 -25.430737 48.882664 27.586607 0.000000e+00 0.000000e+00 0.000000e+00
473023 532 13048.780961 87585.537997 49450.367321 -157.037964 -110.202408 147.545258 32.896641 0.000000e+00 0.000000e+00 0.000000e+00
473024 532 12885.000055 87926.374956 49293.429288 -118.129585 -159.053787 395.379150 27.656004 0.000000e+00 0.000000e+00 0.000000e+00
473025 532 12844.261863 87484.530362 49605.413263 -194.075119 -85.664848 137.097534 29.631290 0.000000e+00 0.000000e+00 0.000000e+00
473026 532 12822.935625 88171.858354 49325.633656 -72.881279 -428.374817 123.809464 31.018412 0.000000e+00 0.000000e+00 0.000000e+00
473027 532 12173.778187 87842.906605 49367.165305 32.754631 -250.596039 217.117661 27.343779 0.000000e+00 0.000000e+00 0.000000e+00
473028 532 12867.087624 87181.829279 49292.535955 -169.479553 -89.556908 254.121414 27.593616 0.000000e+00 0.000000e+00 0.000000e+00
473029 532 11982.500943 87939.813787 49260.636763 111.840050 -193.213409 321.256470 26.288624 0.000000e+00 0.000000e+00 0.000000e+00
473030 532 12932.499279 87397.200151 49375.871138 89.090752 -43.474739 177.567490 30.885918 0.000000e+00 0.000000e+00 0.000000e+00
473031 532 12488.053755 87690.363104 49320.035067 117.392258 -87.242950 97.511093 26.325409 0.000000e+00 0.000000e+00 0.000000e+00
473032 532 12692.972357 88076.277299 49552.223899 -42.795898 -373.256012 155.574814 30.161839 0.000000e+00 0.000000e+00 0.000000e+00
473033 532 12823.056308 87378.212669 49164.450906 30.418495 -46.072277 149.479080 29.932650 0.000000e+00 0.000000e+00 0.000000e+00
473034 532 13134.855791 88106.872559 48913.357821 57.942070 -92.415138 185.391083 24.158844 0.000000e+00 0.000000e+00 0.000000e+00
473035 532 13141.917836 88317.482688 49184.193004 -78.172447 -146.328735 315.728851 22.018696 0.000000e+00 0.000000e+00 0.000000e+00
473036 532 12950.633656 88004.044966 49249.861284 -231.144821 -241.128906 258.965485 32.524586 0.000000e+00 0.000000e+00 0.000000e+00
473037 532 13057.525635 88249.483975 49108.814586 -76.791725 -144.239822 372.597107 25.780422 0.000000e+00 0.000000e+00 0.000000e+00
473038 532 12695.857655 87570.312500 49508.145419 7.008682 -186.803146 173.587570 22.371361 0.000000e+00 0.000000e+00 0.000000e+00
473039 532 12893.499201 88091.103294 49337.025036 -145.355560 -427.979187 -55.361248 29.276011 0.000000e+00 0.000000e+00 0.000000e+00
473040 532 13000.667225 87605.729537 49543.568004 64.484406 -110.402390 -17.329357 23.608608 0.000000e+00 0.000000e+00 0.000000e+00
473041 532 12979.426991 88263.571999 49133.522727 -153.313110 -361.403870 -38.724159 24.599323 0.000000e+00 0.000000e+00 0.000000e+00
473042 532 12934.955944 88051.624645 49163.751776 -173.200607 -392.560272 0.611679 26.068058 0.000000e+00 0.000000e+00 0.000000e+00
473043 532 12970.091386 87410.905318 49602.605646 63.502407 -24.843203 8.491062 21.298077 0.000000e+00 0.000000e+00 0.000000e+00
473044 532 13037.336870 87502.874201 49438.371138 -237.140747 4.307123 173.696304 28.651091 0.000000e+00 0.000000e+00 0.000000e+00
473045 532 12140.808105 87976.751154 49270.291415 108.295616 -104.185753 100.692978 21.553284 0.000000e+00 0.000000e+00 0.000000e+00
473046 532 12305.947044 88117.292924 49432.245428 116.528374 -112.003922 265.313049 19.359533 0.000000e+00 0.000000e+00 0.000000e+00
473047 532 12783.142090 87330.288974 49452.115146 -57.877251 -184.931107 246.372543 24.326338 0.000000e+00 0.000000e+00 0.000000e+00
473048 532 12825.352062 87372.991388 49133.728027 -202.011185 -167.332260 248.050400 21.610983 0.000000e+00 0.000000e+00 0.000000e+00
473049 532 12209.920710 88213.767312 49537.686435 49.914238 -93.038322 63.992821 23.702339 0.000000e+00 0.000000e+00 0.000000e+00
473050 532 12911.419955 87313.071511 49510.930842 13.943196 29.482698 42.924576 24.673883 0.000000e+00 0.000000e+00 0.000000e+00
473051 532 12979.866721 88304.898349 49370.871804 -140.881012 -273.258057 167.593735 24.688360 0.000000e+00 0.000000e+00 0.000000e+00
473052 532 13041.248668 88254.006126 49181.008079 64.250443 -90.732605 187.950012 21.833633 0.000000e+00 0.000000e+00 0.000000e+00
473053 532 12967.859442 88202.764338 49473.860307 51.765144 -306.239319 154.594955 22.364700 0.000000e+00 0.000000e+00 0.000000e+00
473054 532 12134.274569 87935.102983 49259.865501 216.583282 -47.556618 223.503067 25.318113 0.000000e+00 0.000000e+00 0.000000e+00
473055 532 12780.072299 87709.744540 49507.213246 32.903736 -216.287735 180.857681 22.760416 0.000000e+00 0.000000e+00 0.000000e+00
473056 532 12782.910434 88066.422896 49324.640447 190.690643 -306.008087 205.504822 20.547934 0.000000e+00 0.000000e+00 0.000000e+00
473057 532 13037.633722 88126.825506 48961.142800 -239.432846 -351.366394 89.585274 22.175102 0.000000e+00 0.000000e+00 0.000000e+00
473058 532 12821.237737 87393.859863 49494.018555 -50.120522 46.895741 276.782959 22.245672 0.000000e+00 0.000000e+00 0.000000e+00
473059 532 13012.093284 88130.892667 49463.822798 -6.082622 -295.140717 35.409592 25.707951 0.000000e+00 0.000000e+00 0.000000e+00
473060 532 12891.479492 88202.714400 49174.321955 -70.045113 -311.698578 -47.375763 22.446178 0.000000e+00 0.000000e+00 0.000000e+00
473061 532 12901.444869 88340.315385 49157.859109 53.245594 -388.147003 121.907158 24.255756 0.000000e+00 0.000000e+00 0.000000e+00
473062 532 12903.352217 87521.462180 49531.549627 -52.401592 63.894627 74.983925 23.877867 0.000000e+00 0.000000e+00 0.000000e+00
473063 532 12131.505793 87836.736506 49187.372381 189.265610 -161.823105 231.578857 24.397972 0.000000e+00 0.000000e+00 0.000000e+00
473064 532 12817.665794 88074.901234 49602.156206 -64.401741 -341.242188 118.200752 19.178125 0.000000e+00 0.000000e+00 0.000000e+00
473065 532 12859.445745 87801.630194 49202.198375 -80.466034 -382.973694 252.684723 19.141815 0.000000e+00 0.000000e+00 0.000000e+00
473066 532 13281.774347 87272.810502 49596.624201 -155.547455 -12.203909 98.936195 20.193951 0.000000e+00 0.000000e+00 0.000000e+00
473067 532 13014.647050 88326.121937 49167.014382 -129.761749 -359.864502 -10.272159 20.760496 0.000000e+00 0.000000e+00 0.000000e+00
473068 532 12933.635365 88344.055176 49097.240101 -66.757339 -152.116760 100.919334 19.035496 0.000000e+00 0.000000e+00 0.000000e+00
473069 532 12225.677490 87708.973278 49183.244185 188.710358 -112.231819 97.281647 20.673649 0.000000e+00 0.000000e+00 0.000000e+00
473070 532 13067.321777 88236.738725 49355.640758 3.157930 -53.792362 146.487122 18.171501 0.000000e+00 0.000000e+00 0.000000e+00
473071 532 12960.979115 87595.298074 49511.507901 -17.198496 -258.986176 103.537712 20.564882 0.000000e+00 0.000000e+00 0.000000e+00
473072 532 12826.428500 88220.309171 49375.166460 -151.776337 -376.628021 113.823914 21.156488 0.000000e+00 0.000000e+00 0.000000e+00
473073 532 12205.121127 87864.962491 49213.051536 273.577637 -244.445862 142.734909 29.478447 0.000000e+00 0.000000e+00 0.000000e+00
473074 532 13010.234486 87486.550071 49414.717241 -336.583893 -37.161526 43.315582 22.180996 0.000000e+00 0.000000e+00 0.000000e+00
473075 532 12151.081432 88228.698730 49315.074574 91.584579 -207.659210 89.543274 19.726542 0.000000e+00 0.000000e+00 0.000000e+00
473076 532 12927.350131 88207.203258 49188.803933 55.561703 -413.136383 59.206627 24.075600 0.000000e+00 0.000000e+00 0.000000e+00
473077 532 12316.879272 87920.604359 49394.503507 24.880199 -229.345551 191.091904 20.000505 0.000000e+00 0.000000e+00 0.000000e+00
473078 532 12878.821633 87066.711426 49352.638938 -255.808426 -69.917953 96.903191 17.387030 0.000000e+00 0.000000e+00 0.000000e+00
473079 532 12946.147572 87869.190563 49095.725320 -207.674255 -135.747849 150.013123 16.073957 0.000000e+00 0.000000e+00 0.000000e+00
473080 532 12706.623424 87645.080566 49447.820490 27.859579 -54.953537 146.614380 20.750877 0.000000e+00 0.000000e+00 0.000000e+00
473081 532 12758.228649 87676.730069 49445.978338 -94.521690 -224.895691 300.782623 19.083223 0.000000e+00 0.000000e+00 0.000000e+00
473082 532 12796.533758 87142.522638 49340.892445 -148.065125 -68.389549 187.320374 20.919781 0.000000e+00 0.000000e+00 0.000000e+00
473083 532 12597.204035 87513.649680 49345.198198 -4.209077 -81.341888 249.074280 20.701347 0.000000e+00 0.000000e+00 0.000000e+00
473084 532 12432.750355 88050.969904 49329.173695 62.227001 -58.305618 195.486160 16.041780 0.000000e+00 0.000000e+00 0.000000e+00
473085 532 12220.762773 87825.988770 48963.500977 38.489807 24.986578 121.552864 14.184387 0.000000e+00 0.000000e+00 0.000000e+00
473086 532 12944.711859 88073.774858 49202.165083 -57.060928 -143.750168 470.758942 21.730837 0.000000e+00 0.000000e+00 0.000000e+00
473087 532 12990.298184 87912.031694 49326.244007 -12.109158 -302.002869 -22.013130 20.396660 0.000000e+00 0.000000e+00 0.000000e+00
473088 532 12997.863770 88227.722168 49391.840154 101.556740 -207.819321 136.568863 18.489695 0.000000e+00 0.000000e+00 0.000000e+00
473089 532 12084.401911 87698.497425 49096.868342 188.560364 -63.070522 226.355148 17.427862 0.000000e+00 0.000000e+00 0.000000e+00
473090 532 12954.273571 87366.477273 49294.727672 -210.959900 -23.307199 202.540604 19.522873 0.000000e+00 0.000000e+00 0.000000e+00
473091 532 12095.945878 88141.318581 49332.597212 132.283676 -116.358147 171.830551 18.667406 0.000000e+00 0.000000e+00 0.000000e+00
473092 532 12912.389582 88024.746982 49256.170099 203.158310 -149.044922 30.986855 22.987597 0.000000e+00 0.000000e+00 0.000000e+00
473093 532 12265.028520 88059.725675 49337.213690 119.920418 -200.412857 139.481598 17.253983 0.000000e+00 0.000000e+00 0.000000e+00
473094 532 13021.774292 88212.785201 49212.696422 -218.723862 -208.016220 163.678558 22.417336 0.000000e+00 0.000000e+00 0.000000e+00
473095 532 12915.538441 88145.768599 48968.733354 65.989525 -227.194092 261.523285 16.129662 0.000000e+00 0.000000e+00 0.000000e+00
473096 532 13128.372192 88089.316628 49101.479270 104.456993 -271.106689 142.402039 16.743967 0.000000e+00 0.000000e+00 0.000000e+00
473097 532 12314.361572 87948.552912 49222.900391 58.617855 -248.972214 164.255615 21.084236 0.000000e+00 0.000000e+00 0.000000e+00
473098 532 12095.357722 87802.995162 49134.083141 12.862426 -198.539230 166.584076 14.193373 0.000000e+00 0.000000e+00 0.000000e+00
473099 532 12737.849842 87966.952237 49574.274237 -49.975174 -132.923203 193.654770 17.007410 0.000000e+00 0.000000e+00 0.000000e+00
473100 532 12777.848677 87398.870295 49350.169789 -160.466232 96.024986 185.600754 18.488419 0.000000e+00 0.000000e+00 0.000000e+00
473101 532 12106.145685 87852.156206 49182.972301 0.664122 -356.373108 -16.532007 19.784834 0.000000e+00 0.000000e+00 0.000000e+00
473102 532 12980.606079 88093.794389 49252.352628 -33.329109 98.027397 162.919098 20.100384 0.000000e+00 0.000000e+00 0.000000e+00
473103 532 12707.092285 87280.345570 49305.497603 -270.418823 -13.354281 88.716179 21.509897 0.000000e+00 0.000000e+00 0.000000e+00
473104 532 13184.215199 88124.056729 49263.560902 -12.057810 -94.967003 180.254364 15.585791 0.000000e+00 0.000000e+00 0.000000e+00
473105 532 13071.752375 88127.813166 49237.154874 105.343933 -243.332962 254.108734 18.639128 0.000000e+00 0.000000e+00 0.000000e+00
473106 532 13001.788053 88224.692605 49320.773038 78.746391 -59.493385 35.737061 16.263660 0.000000e+00 0.000000e+00 0.000000e+00
473107 532 12008.202293 88055.220170 49261.402477 87.571426 -195.380829 77.206543 16.755136 0.000000e+00 0.000000e+00 0.000000e+00
473108 532 12544.086803 87361.627752 49256.281072 79.391830 -115.404243 94.390770 20.740900 0.000000e+00 0.000000e+00 0.000000e+00
473109 532 12962.452282 87450.167569 49443.237305 26.956734 46.679314 132.046402 24.436296 0.000000e+00 0.000000e+00 0.000000e+00
473110 532 12801.576094 87066.300826 49306.551847 -244.901993 -52.274982 138.577744 18.560518 0.000000e+00 0.000000e+00 0.000000e+00
473111 532 12847.958651 87494.540128 49465.559526 -119.192780 99.977745 250.428665 18.066229 0.000000e+00 0.000000e+00 0.000000e+00
473112 532 12768.692017 87700.689142 49388.633034 -84.819733 -119.578140 146.634476 18.905342 0.000000e+00 0.000000e+00 0.000000e+00
473113 532 12206.687234 87958.129883 49180.658514 193.503983 -196.178665 308.466827 18.506197 0.000000e+00 0.000000e+00 0.000000e+00
473114 532 12373.228593 87892.228560 49119.462447 78.597054 -236.667587 158.875214 19.608036 0.000000e+00 0.000000e+00 0.000000e+00
473115 532 12522.447066 87874.250932 49256.813743 118.532173 -69.967651 251.807785 15.180528 0.000000e+00 0.000000e+00 0.000000e+00
473116 532 13007.687655 87383.223100 49404.213645 70.043190 -150.379929 142.944199 16.545109 0.000000e+00 0.000000e+00 0.000000e+00
473117 532 12988.093983 87390.036843 49245.605469 -279.963776 -225.571609 150.056900 16.243639 0.000000e+00 0.000000e+00 0.000000e+00
