#subID	 subGroupNr x	 y	 z	 vx	 yv	 yz	 vmax	 B_MAG V_MAG M_star
#subID	 groupID	 kpc	 kpc	 kpc	 km/s	 km/s	 km/s	 km/s	 mags mags 10^10Msun
489153 4179 15740.348122 50565.856934 59647.560813 130.315796 145.756454 15.626783 150.781754 -2.041955e+01 -2.078755e+01 1.469349e+00
489154 4179 15770.159635 50376.625755 59590.875799 176.098587 155.657135 106.372612 18.365900 1.000000e+37 1.000000e+37 0.000000e+00
489155 4179 15756.455855 50434.747869 59698.941317 119.842072 179.736404 -134.057205 13.963274 1.000000e+37 1.000000e+37 0.000000e+00
489156 4179 15720.833518 50539.217862 59630.310059 165.261169 -35.362305 102.796844 18.812803 1.000000e+37 1.000000e+37 0.000000e+00
489157 4179 15618.204290 50595.741966 59525.917747 72.224678 70.274788 20.375235 11.004880 1.000000e+37 1.000000e+37 0.000000e+00
489158 4179 15651.256214 50657.509544 59478.388006 89.691643 98.924248 -10.370166 11.359968 1.000000e+37 1.000000e+37 0.000000e+00
489159 4179 15732.740922 50514.959162 59692.366167 161.776428 299.456909 25.679699 11.696279 1.000000e+37 1.000000e+37 0.000000e+00
489160 4179 15642.740423 50556.035822 59632.940119 148.816284 46.785065 111.470665 10.867451 1.000000e+37 1.000000e+37 0.000000e+00
489161 4179 15803.905140 50490.439675 59749.300870 70.769196 256.637360 33.901104 8.709652 1.000000e+37 1.000000e+37 0.000000e+00
489162 4179 15717.550104 50603.609952 59458.834561 149.511719 99.798149 -6.218037 9.797404 1.000000e+37 1.000000e+37 0.000000e+00
490336 4256 14994.566484 49850.902211 59993.752219 116.087723 142.752670 -15.431209 146.910233 -2.048177e+01 -2.089819e+01 1.709343e+00
490337 4256 15049.057007 49822.493120 60136.985085 85.738754 59.780273 -128.636612 20.022919 1.000000e+37 1.000000e+37 0.000000e+00
490338 4256 14950.802890 49954.944957 60039.140181 167.551956 250.462921 -32.142666 19.503872 1.000000e+37 1.000000e+37 0.000000e+00
490339 4256 14991.276134 50000.210849 60085.476962 99.237999 106.198524 5.704714 24.511124 -1.173045e+01 -1.227438e+01 7.286529e-04
490340 4256 14970.612959 49851.135254 59877.890847 68.049942 80.270004 -105.345680 20.974691 -8.850371e+00 -9.420657e+00 1.174021e-04
490341 4256 15156.451139 49811.246005 60041.048917 145.860184 152.050781 -11.134290 12.866443 1.000000e+37 1.000000e+37 0.000000e+00
