#subID	 subGroupNr x	 y	 z	 vx	 yv	 yz	 vmax	 B_MAG V_MAG M_star
#subID	 groupID	 kpc	 kpc	 kpc	 km/s	 km/s	 km/s	 km/s	 mags mags 10^10Msun
565100 1319 28887.775768 53194.879705 10095.006076 -162.271378 -60.795132 -76.552574 191.386429 0.000000e+00 0.000000e+00 0.000000e+00
565101 1319 28877.286044 53110.917525 10174.404491 -331.716553 -286.036957 -64.322067 37.600002 0.000000e+00 0.000000e+00 0.000000e+00
565102 1319 28854.001132 53256.996848 10119.107333 -389.200439 -297.046417 -104.577171 36.007893 0.000000e+00 0.000000e+00 0.000000e+00
565103 1319 28820.850719 53388.655229 9955.884760 -227.814407 73.580811 -110.441795 24.217638 0.000000e+00 0.000000e+00 0.000000e+00
565104 1319 28796.236905 53127.230558 10096.199729 -269.803436 -316.575012 -93.268929 22.595324 0.000000e+00 0.000000e+00 0.000000e+00
565105 1319 28756.874778 53277.926358 10113.611395 -261.585510 28.305212 -149.053925 20.042898 0.000000e+00 0.000000e+00 0.000000e+00
565106 1319 29021.079324 53292.469371 10156.625227 -153.180328 -11.604637 -39.850033 20.387646 0.000000e+00 0.000000e+00 0.000000e+00
565107 1319 29006.935813 52877.707741 10191.275163 -227.463028 -171.560303 -8.815543 17.914984 0.000000e+00 0.000000e+00 0.000000e+00
565108 1319 28711.317583 53331.609553 9878.892378 -254.861588 7.735949 -104.050537 23.337879 0.000000e+00 0.000000e+00 0.000000e+00
565109 1319 28742.839466 53229.270241 10334.038474 -225.952377 65.731529 -12.961164 18.257736 0.000000e+00 0.000000e+00 0.000000e+00
565110 1319 28972.842130 53293.651234 10072.267012 14.796400 18.366295 55.063747 20.398176 0.000000e+00 0.000000e+00 0.000000e+00
565111 1319 29070.004550 53100.630327 9848.349138 -165.967529 -136.412003 -145.068573 19.578339 0.000000e+00 0.000000e+00 0.000000e+00
565112 1319 28766.737504 53239.313299 10256.399675 -132.575378 20.825499 -251.242081 19.892967 0.000000e+00 0.000000e+00 0.000000e+00
565113 1319 28884.330056 53389.975808 10027.491483 -237.005142 -102.837257 -29.036177 20.353460 0.000000e+00 0.000000e+00 0.000000e+00
565114 1319 29139.984131 53242.281827 10005.649220 -117.284882 -192.290314 -56.751377 19.722816 0.000000e+00 0.000000e+00 0.000000e+00
565115 1319 29077.633944 53350.863370 10090.453408 -376.116852 -120.396317 -42.796478 15.757638 0.000000e+00 0.000000e+00 0.000000e+00
565116 1319 29106.162331 53195.506703 10035.969821 -375.460663 -17.015688 -98.584343 14.065024 0.000000e+00 0.000000e+00 0.000000e+00
565117 1319 29066.567161 52868.352717 10236.682545 -198.537827 -151.729126 -7.582458 16.532330 0.000000e+00 0.000000e+00 0.000000e+00
565118 1319 29007.216020 53340.687145 9944.435813 -328.519379 -185.378891 21.560423 11.695113 0.000000e+00 0.000000e+00 0.000000e+00
565119 1319 29028.392445 52895.075018 10233.064825 -44.227684 -4.489471 -181.443329 13.008076 0.000000e+00 0.000000e+00 0.000000e+00
565120 1319 28995.172674 53136.973988 10066.117720 -190.551514 26.674314 -49.239227 19.932034 0.000000e+00 0.000000e+00 0.000000e+00
565121 1319 28973.774303 53376.914284 10224.181435 -191.896255 -20.596972 46.927929 16.565729 0.000000e+00 0.000000e+00 0.000000e+00
565122 1319 28761.918501 53217.889959 10126.071583 -25.299088 -277.544830 25.094160 14.879302 0.000000e+00 0.000000e+00 0.000000e+00
565123 1319 28721.102628 53156.938033 10324.327642 -191.886368 55.200966 -230.395721 11.006900 0.000000e+00 0.000000e+00 0.000000e+00
565124 1319 28776.819403 53118.907582 9972.048673 -153.896820 172.463181 -126.974220 11.952832 0.000000e+00 0.000000e+00 0.000000e+00
565125 1319 28649.702592 53208.546032 10180.554477 -262.571686 -106.616180 52.060738 13.179842 0.000000e+00 0.000000e+00 0.000000e+00
565126 1319 28733.293013 53308.249734 10066.318165 -55.799801 -3.032744 -272.032227 11.886217 0.000000e+00 0.000000e+00 0.000000e+00
565127 1319 28999.905673 53233.276367 10116.415544 -262.852509 -18.445387 -139.889114 15.765121 0.000000e+00 0.000000e+00 0.000000e+00
565128 1319 29141.604337 53106.201172 9890.246998 -248.193741 78.743423 -131.284515 10.163831 0.000000e+00 0.000000e+00 0.000000e+00
565129 1319 28950.697465 53131.469727 10192.637357 -252.804733 106.978088 -184.559128 14.765469 0.000000e+00 0.000000e+00 0.000000e+00
565130 1319 29031.516335 53059.692383 10096.168518 7.992349 -122.922928 -160.687881 11.243090 0.000000e+00 0.000000e+00 0.000000e+00
565131 1319 29021.220814 53412.997159 10035.903931 -368.949188 -126.548241 -51.963718 12.726383 0.000000e+00 0.000000e+00 0.000000e+00
565132 1319 28994.409735 53163.119229 10174.248435 -46.023148 37.221172 -197.188843 11.967528 0.000000e+00 0.000000e+00 0.000000e+00
565133 1319 28867.021040 53292.125355 9883.185647 -246.758804 -145.279449 -58.758945 13.490419 0.000000e+00 0.000000e+00 0.000000e+00
