#subID	 subGroupNr x	 y	 z	 vx	 yv	 yz	 vmax	 B_MAG V_MAG M_star
#subID	 groupID	 kpc	 kpc	 kpc	 km/s	 km/s	 km/s	 km/s	 mags mags 10^10Msun
471498 3226 76192.599210 75543.540261 64422.030362 76.373428 171.962585 -16.205444 142.919586 -2.075619e+01 -2.111303e+01 1.344195e+00
471499 3226 76198.258833 75382.085627 64443.609064 -34.892426 232.580093 17.247150 75.284454 -1.650795e+01 -1.707045e+01 7.001995e-02
471500 3226 76181.041371 75700.600364 64554.177024 64.129738 132.567001 75.362144 46.511547 -1.296672e+01 -1.356521e+01 2.742533e-03
471501 3226 76040.782582 75604.181463 64574.990012 73.414246 254.678101 52.334419 43.318489 -1.321555e+01 -1.384221e+01 3.860570e-03
471502 3226 76161.859686 75494.573420 64377.940785 134.214279 240.298248 -80.862907 36.562576 -1.334080e+01 -1.400713e+01 5.509276e-03
471503 3226 76152.005282 75308.649237 64468.705611 -6.048338 158.960159 24.555805 18.344694 1.000000e+37 1.000000e+37 0.000000e+00
471504 3226 76228.665439 75659.312855 64192.116477 74.810059 269.479675 40.632820 13.660357 1.000000e+37 1.000000e+37 0.000000e+00
471505 3226 76318.131880 75663.047097 64490.312056 119.459671 208.587875 -118.503288 15.563430 1.000000e+37 1.000000e+37 0.000000e+00
471506 3226 76229.148171 75731.572931 64498.213335 161.621933 219.814865 -6.546015 18.054531 1.000000e+37 1.000000e+37 0.000000e+00
471507 3226 76180.569735 75555.347789 64460.121848 -93.321571 222.840027 -43.985321 17.590780 -1.139950e+01 -1.208538e+01 8.387942e-04
471508 3226 76148.981268 75501.586914 64426.996404 200.402542 301.894867 -123.091698 15.831996 1.000000e+37 1.000000e+37 0.000000e+00
471509 3226 76197.587447 75514.309970 64250.710227 22.333572 149.704681 51.305679 15.852324 1.000000e+37 1.000000e+37 0.000000e+00
471510 3226 76208.312988 75617.881081 64288.185813 66.830727 233.909073 -98.338737 10.144309 1.000000e+37 1.000000e+37 0.000000e+00
471511 3226 76282.614968 75560.413707 64283.724698 22.271118 142.876144 -97.918266 12.468304 1.000000e+37 1.000000e+37 0.000000e+00
471512 3226 76155.733975 75691.223145 64310.863148 45.192184 108.289993 -27.534788 14.065199 1.000000e+37 1.000000e+37 0.000000e+00
471513 3226 76196.949352 75658.647017 64221.524325 -36.376503 137.732010 -2.737088 12.214938 1.000000e+37 1.000000e+37 0.000000e+00
471514 3226 76153.475675 75733.209783 64483.969949 177.583801 218.425262 0.197495 11.171771 1.000000e+37 1.000000e+37 0.000000e+00
471515 3226 76133.173162 75668.407093 64603.038441 104.247559 161.836853 -121.295135 10.872678 1.000000e+37 1.000000e+37 0.000000e+00
471516 3226 76205.871582 75520.524458 64356.034712 -28.809132 181.475464 -82.614021 12.911162 1.000000e+37 1.000000e+37 0.000000e+00
471517 3226 76222.456499 75528.714267 64478.537820 115.816101 174.831192 -217.922714 10.301096 1.000000e+37 1.000000e+37 0.000000e+00
471518 3226 76186.129483 75699.163263 64452.697754 94.097862 182.876663 128.349182 10.343982 1.000000e+37 1.000000e+37 0.000000e+00
471519 3226 76039.539684 75595.569957 64420.387962 108.938164 68.624466 -86.265419 8.174370 1.000000e+37 1.000000e+37 0.000000e+00
483054 3820 77074.834650 75452.631170 63835.759943 -30.762365 216.919678 9.916419 142.895844 -1.924651e+01 -1.986051e+01 1.354965e+00
483055 3820 76887.578791 75505.864924 63893.243963 76.202873 194.201813 57.815422 22.357742 1.000000e+37 1.000000e+37 0.000000e+00
483056 3820 76857.005726 75501.253995 63741.371848 78.571999 163.801041 -44.899063 20.513712 1.000000e+37 1.000000e+37 0.000000e+00
483057 3820 77099.798029 75436.301491 63911.454634 -64.080971 56.729279 -62.769432 28.136333 -1.030784e+01 -1.086410e+01 2.813526e-04
483058 3820 77132.973411 75432.128906 63772.655140 21.838947 351.780151 -117.875267 20.737783 1.000000e+37 1.000000e+37 0.000000e+00
483059 3820 77126.148571 75350.314054 63762.079412 -138.237061 292.519531 -72.765198 19.459164 1.000000e+37 1.000000e+37 0.000000e+00
483060 3820 76950.289640 75647.938121 64033.769087 -38.610870 141.398041 -60.441429 18.950033 1.000000e+37 1.000000e+37 0.000000e+00
483061 3820 77159.501509 75327.570135 63865.317605 -155.375870 287.195282 74.405640 16.220457 1.000000e+37 1.000000e+37 0.000000e+00
483062 3820 77003.761985 75448.719371 63717.939897 -6.171316 363.781738 -33.694286 17.337976 1.000000e+37 1.000000e+37 0.000000e+00
483063 3820 76984.547008 75445.850719 63772.161310 -24.301432 278.637665 134.052948 20.955927 -9.523495e+00 -1.010301e+01 1.938404e-04
483064 3820 77173.478560 75199.895685 63826.366078 -46.024490 210.285477 -34.430641 15.641038 1.000000e+37 1.000000e+37 0.000000e+00
483065 3820 76983.820135 75412.886186 63721.624201 -111.221794 239.504059 -42.511524 21.156916 1.000000e+37 1.000000e+37 0.000000e+00
483066 3820 77224.265359 75395.330256 63809.348366 -112.179619 251.407639 -86.968040 19.040390 1.000000e+37 1.000000e+37 0.000000e+00
483067 3820 77237.437855 75262.084961 63765.458540 10.639146 277.639893 45.766804 15.813893 1.000000e+37 1.000000e+37 0.000000e+00
483068 3820 76915.016868 75518.909801 63834.511497 58.711597 176.705215 112.235558 11.153153 1.000000e+37 1.000000e+37 0.000000e+00
483069 3820 77021.933816 75279.196999 63662.642045 -101.611946 152.291855 23.031397 14.664764 1.000000e+37 1.000000e+37 0.000000e+00
483070 3820 77189.453125 75353.127219 63916.809082 29.808764 122.181351 -17.785606 11.595139 1.000000e+37 1.000000e+37 0.000000e+00
483071 3820 76880.482067 75419.588956 63805.425471 16.914221 299.732086 91.405083 13.539838 1.000000e+37 1.000000e+37 0.000000e+00
483072 3820 77113.874956 75324.351918 63782.659357 -21.044481 71.215523 -2.079551 11.426620 1.000000e+37 1.000000e+37 0.000000e+00
483073 3820 77227.994052 75330.938166 63843.855424 -159.623245 244.543655 68.312248 11.577989 1.000000e+37 1.000000e+37 0.000000e+00
483074 3820 77154.152610 75334.345037 63866.621538 -153.368988 282.924774 63.865166 15.925177 1.000000e+37 1.000000e+37 0.000000e+00
483075 3820 76984.485973 75546.453303 63871.321245 13.736604 153.353745 -83.861099 14.024410 1.000000e+37 1.000000e+37 0.000000e+00
483076 3820 77139.038086 75357.033469 63704.046076 -145.100235 178.991730 -58.176811 10.688366 1.000000e+37 1.000000e+37 0.000000e+00
