13	183.51	2.50	570.26 -274.1582 -283.9004 -411.6172	32.786506 181.139239	1.07e+05  1.65e+05  2.27e+05 0.9834  -0.0941  0.1553	74.63 24.80 0.8385 -0.0698 0.5404	76.6887 18.0947 -2.7094 26.6346	0.25	
9	200.12	3.66	555.35 105.7070 330.4160 433.6700	48.762250 198.578814	6.78e+04  1.03e+05  1.16e+05 0.6954  -0.1598  -0.7007	73.50 -3.49 -0.5132 -0.0468 0.8570	61.8123 19.7808 0.9169 30.3091	-0.34	
4	154.77	1.47	830.16 386.7695 636.1465 367.2783	35.026407 137.785986	1.82e+04  3.45e+04  4.95e+04 0.0911  -0.9821  -0.1651	5.69 90.32 -0.1368 0.2355 -0.9622	24.9785 18.0367 -1.2128 41.6732	0.32	
12	212.02	4.28	412.12 197.7852 -124.7852 339.3423	7.461917 211.925576	1.27e+05  1.51e+05  1.87e+05 -0.7558  0.6518  0.0633	78.26 -23.76 0.1436 -0.4941 0.8575	59.6000 16.2190 0.1302 13.4035	-2.10	
9	230.85	5.23	906.49 -370.5469 722.8477 402.3887	62.845673 228.941363	8.84e+04  1.27e+05  1.39e+05 -0.5584  -0.6419  0.5255	45.90 -42.73 -0.6784 -0.2307 0.6976	71.4220 20.5901 -2.3056 30.0910	-0.17	
6	199.01	3.23	974.17 444.3867 270.2476 823.7070	10.845080 195.820284	2.39e+04  8.26e+04  1.02e+05 0.7578  0.5579  -0.3384	24.09 0.33 -0.7348 -0.4098 0.5405	37.7072 14.0413 0.8762 14.1794	-0.90	
5	231.77	4.09	703.82 607.1133 220.6396 -279.4531	36.194885 221.467568	3.88e+04  8.22e+04  1.06e+05 -0.6925  -0.6664  0.2762	39.21 -16.81 -0.3992 -0.6194 0.6760	46.5023 20.5708 -5.4282 33.6744	0.66	
4	230.90	4.27	837.32 153.6055 18.4570 -822.8984	30.748706 228.777800	4.75e+04  1.11e+05  1.57e+05 -0.4960  0.1675  -0.8520	0.48 -27.48 -0.6505 0.1468 -0.7452	45.9764 31.1210 3.6871 70.5548	-0.52	
6	199.56	3.29	1019.75 245.6777 -905.7441 -398.9570	7.552851 173.174023	2.35e+04  5.30e+04  5.57e+04 -0.3231  -0.4182  0.8490	25.23 16.11 -0.5588 -0.5945 0.5782	26.6367 10.8822 0.1877 11.3593	-0.63	
6	131.86	0.85	509.55 406.5391 216.5586 217.8789	24.557249 122.930150	9.15e+03  2.69e+04  3.06e+04 0.8592  0.3364  -0.3855	12.66 20.01 -0.7811 -0.2571 0.5690	22.9883 8.4902 -1.2536 15.5630	-0.85	
5	141.77	0.79	935.72 696.1328 496.1113 -380.5789	23.842519 141.323674	1.42e+04  2.41e+04  3.72e+04 -0.4215  -0.4519  0.7862	10.17 -4.93 -0.4644 -0.4383 0.7696	16.4973 9.9153 0.4867 13.9300	-0.01	
