#Name  x(kpc) y(kpc) z(kpc) -delta_sun(kpc) +delta_sun(kpc) M_V delta_M_V
"Andromeda" -193 312 -144 25 26 -20.0 0.0
"Triangulum" -292 189 -277 22 23 -18.8 0.1
"NGC205" -208 349 -153 26 27 -16.5 0.1
"M32" -202 328 -157 74 82 -16.4 0.2
"IC10" -200 382 98 43 45 -15.0 0.2
"NGC185" -121 201 -10 25 26 -14.8 0.1
"NGC147" -142 257 -22 27 29 -14.6 0.1
"AndromedaVII" -66 396 12 34 36 -12.6 0.3
"AndromedaII" -173 131 -173 18 18 -12.4 0.2
"AndromedaXXXI" 44 401 -74 41 43 -11.7 0.7
"AndromedaXXXII" -202 344 -7 48 52 -12.3 0.7
"AndromedaI" -171 264 -169 24 24 -11.7 0.1
"AndromedaVI" 0 295 -320 25 26 -11.3 0.2
"LGS3" -164 154 -359 24 25 -10.1 0.1
"AndromedaXXIII" -278 220 -163 45 47 -10.2 0.5 
"AndromedaIII" -145 273 -187 24 25  -10.0 0.3
"AndromedaXXI" -108 414 -128 26 23  -9.9 0.6
"AndromedaXXV" -197 371 -78 44 46 -9.7 0.5
"AndromedaXV" -165 137 -116 34 80 -9.4 0.4
"AndromedaXIX" -130 345 -233 147 31 -9.2 0.6
"AndromedaXVI" -51 25 -98 30 44 -9.2 0.4
"AndromedaV" -256 290 -58 28 29 -9.1 0.2
"AndromedaXVII" -163 285 -87 26 38 -8.7 0.4
"AndromedaXVIII" -286 750 -209 44 40 -8.5 0.5
"AndromedaXIV" -177 246 -291 181 22 -8.4 0.6
"AndromedaXXVIII" 173 297 -113 58 171 -8.5 0.2
"AndromedaXXIX" -28 279 -230 70 78 -8.3 0.4
"AndromedaXXVII" -215 370 -104 45 47 -7.9 0.5
"AndromedaIX" -211 291 -114 24 25 -8.1 1.1
"AndromedaXXVI" -163 338 -49 41 43 -7.1 0.5
"AndromedaXI" -153 234 -213 17 17 -6.9 1.3
"AndromedaXX" -73 298 -191 53 42 -6.3 1.1
"AndromedaXIII" -212 299 -274 19 20 -6.7 1.3
"AndromedaX" -188 205 -63 39 25 -7.6 1.1
"AndromedaXII" -248 381 -299 135 39 -6.4 1.2 
"AndromedaXXIV" -169 143 -24 32 34 -7.6 0.5
"AndromedaXXII" -331 249 -372 141 30 -6.5 0.9
"AndromedaXXX" -153 261 -11 77 32 -8.5 0.50



