#Name  x(kpc) y(kpc) z(kpc) -delta_sun(kpc) +delta_sun(kpc) M_V delta_M_V
"The Galaxy" 193 -312 144 0 0	-20 0.0
"LMC" 192 -353 117 2 2 -18.1 0.1
"SMC" 209 -350 99 3 4 -16.8 0.2
"Canis Major" 181 -318 143 1 1	-14.4 0.8
"Sagittarius dSph" 210 -309 138 2 2 -13.5 0.3
"Fornax" 151 -363 10 12 13  -13.4 0.3 
"Leo I" 69 -431 336 15 16  -12.0 0.3
"Sculptor" 187 -321 59 5 6  -11.1 0.5
"Leo II" 115.0 -370 359 14 14  -9.8 0.3 
"Sextans (I)" 156 -369 202 -9.3 0.5  
"Carina" 168 -408 104 6 6 -9.1 0.5
"Ursa Minor" 170 -260 197 3 4 -8.8 0.5 
"Draco" 188 -249 187 6 6 -8.8 -0.3
"Canes Venatici (I)" 195 -275 358 10 10 -8.6 0.2
"Segue (I)" 173 -321 162 2 2 -1.5 0.8
"Ursa Major II" 162 -300 163 4 5 -5.5 0.3
"Bootes II" 199 -313 183 1 1 -6.3 0.2
"Segue II" 161 -298 123 2 2 -2.5 0.3
"Willman 1" 165 -304 176 6 8 -2.7 0.8
"Coma Berenices" 182 -316 187 4 4 -4.1 0.5 
"Bootes III" 194 -305 189 2 2 -5.8 0.5
"Bootes (I)" 207 -312 206 2 2 -6.3 0.2
"Ursa Major (I)" 132 -292 223 4 5 -4.2 0.6
"Hercules" 277 -261 223 12 13 -6.6 0.4
"Leo IV" 178 -396 273 6 7 -5.8 0.4
"Canes Venatici II" 176 -293 303 4 4 -4.9 0.5
"Leo V" 171 -404 296 10 10 -5.2 0.4 
"Pisces II" 208 -190 11 0 0 -5.0 -5.0





