13.453624 61.032778	-0.4897 0.7916 -0.3654	6e+04	0.00 -0.22	-0.1184 -0.1145 0.9999	
13.453624 61.032778	2.07e+03  3.60e+04  3.73e+04	 0.00 20.18	 0.5525 0.3695 0.8095	
13.453624 61.032778	1.15e+03  3.67e+04  3.75e+04	 0.00 -14.21	 -0.5984 0.6779 -0.8253	
13.453624 61.032778	2.16e+03  3.56e+04  3.75e+04	 0.00 -20.79	 0.3135 0.8235 0.7834	
13.453624 61.032778	2.04e+03  3.59e+04  3.74e+04	 0.00 -20.37	 -0.2991 0.2117 0.8065	
13.453624 61.032778	1.80e+03  3.59e+04  3.76e+04	 0.00 2.69	 0.4517 -0.4527 -0.9988	
13.453624 61.032778	1.52e+03  3.61e+04  3.76e+04	 0.00 -11.76	 -0.6230 -0.8338 0.9194	
13.453624 61.032778	1.33e+03  3.66e+04  3.74e+04	 0.00 -14.63	 0.8613 -0.6830 -0.9403	
13.453624 61.032778	1.22e+03  3.68e+04  3.73e+04	 0.00 -19.17	 -0.2422 0.4835 -0.6191	
13.453624 61.032778	1.56e+03  3.63e+04  3.74e+04	 0.00 -21.02	 -0.0145 0.3757 -0.5756	
13.453624 61.032778	5.22e+02  3.72e+04  3.76e+04	 0.00 -15.40	 0.8764 -0.4965 -0.5725	
13.453624 61.032778	7.91e+02  3.70e+04  3.75e+04	 0.00 -11.42	 -0.8323 0.9037 -0.8676	
13.453624 61.032778	1.00e+03  3.70e+04  3.73e+04	 0.00 -16.28	 0.9825 0.6466 0.7351	
13.453624 61.032778	8.00e+02  3.69e+04  3.76e+04	 0.00 2.90	 -0.4895 0.4941 -0.9949	
13.453624 61.032778	2.18e+03  3.58e+04  3.73e+04	 0.00 -22.39	 0.2010 -0.2354 0.7372	
13.453624 61.032778	2.14e+03  3.55e+04  3.76e+04	 0.00 1.44	 0.0020 0.0407 -0.9991	
13.453624 61.032778	1.28e+03  3.64e+04  3.76e+04	 0.00 -4.51	 0.4846 -0.3443 -0.9879	
13.453624 61.032778	1.65e+03  3.60e+04  3.76e+04	 0.00 -0.49	 0.6138 -0.6121 -0.9999	
13.453624 61.032778	1.73e+03  3.61e+04  3.74e+04	 0.00 18.93	 -0.5463 0.7958 -0.8301	
13.453624 61.032778	1.05e+03  3.68e+04  3.74e+04	 0.00 -11.37	 0.6521 -0.3265 -0.9084	
13.453624 61.032778	4.10e+02  3.73e+04  3.75e+04	 0.00 8.87	 0.0559 -0.2003 0.8691	
13.453624 61.032778	1.96e+03  3.60e+04  3.73e+04	 0.00 -12.89	 -0.6639 0.7852 -0.9763	
13.453624 61.032778	1.74e+03  3.61e+04  3.74e+04	 0.00 -13.44	 0.3850 -0.5860 -0.9335	
13.453624 61.032778	4.16e+02  3.73e+04  3.75e+04	 0.00 -12.30	 -0.0911 0.5919 0.6766	
13.453624 61.032778	1.98e+03  3.59e+04  3.74e+04	 0.00 -19.99	 -0.5849 -0.0318 0.7940	
13.453624 61.032778	1.34e+03  3.65e+04  3.74e+04	 0.00 19.88	 -0.6428 0.9898 -0.6639	
13.453624 61.032778	1.82e+03  3.61e+04  3.74e+04	 0.00 14.96	 0.4810 -0.6898 -0.9418	
13.453624 61.032778	1.05e+03  3.66e+04  3.76e+04	 0.00 9.62	 -0.8122 -0.9459 0.9202	
13.453624 61.032778	1.16e+03  3.66e+04  3.75e+04	 0.00 -17.56	 -0.2500 -0.4421 -0.6319	
13.453624 61.032778	1.47e+03  3.62e+04  3.76e+04	 0.00 6.10	 0.7525 -0.7320 -0.9959	
13.453624 61.032778	1.34e+03  3.63e+04  3.76e+04	 0.00 2.66	 0.4681 -0.4507 -0.9994	
13.453624 61.032778	1.64e+03  3.64e+04  3.72e+04	 0.00 -16.92	 0.6313 -0.2873 -0.9035	
13.453624 61.032778	1.34e+03  3.63e+04  3.76e+04	 0.00 3.99	 0.7206 0.7738 0.9962	
13.453624 61.032778	1.95e+03  3.59e+04  3.74e+04	 0.00 12.26	 0.4929 -0.2841 -0.9679	
13.453624 61.032778	1.78e+03  3.59e+04  3.76e+04	 0.00 -2.92	 -0.8210 -0.8055 0.9957	
13.453624 61.032778	9.90e+02  3.67e+04  3.76e+04	 0.00 -3.83	 0.7285 -0.7420 -0.9881	
13.453624 61.032778	9.11e+02  3.67e+04  3.76e+04	 0.00 -1.61	 0.1143 -0.1189 -0.9999	
13.453624 61.032778	8.66e+02  3.68e+04  3.76e+04	 0.00 -1.72	 0.6767 -0.6710 -0.9998	
13.453624 61.032778	5.38e+02  3.71e+04  3.76e+04	 0.00 -16.38	 -0.7306 -0.6447 0.3314	
13.453624 61.032778	9.38e+02  3.67e+04  3.76e+04	 0.00 1.10	 -0.1841 0.1902 -1.0000	
13.453624 61.032778	1.23e+03  3.64e+04  3.76e+04	 0.00 12.44	 -0.6363 -0.2879 0.8851	
13.453624 61.032778	1.30e+03  3.64e+04  3.76e+04	 0.00 22.05	 0.9754 -0.1434 -0.3060	
13.453624 61.032778	5.45e+02  3.71e+04  3.76e+04	 0.00 -5.62	 0.2945 -0.0525 -0.9502	
13.453624 61.032778	6.87e+02  3.71e+04  3.75e+04	 0.00 15.11	 0.3180 -0.4839 0.6671	
13.453624 61.032778	1.81e+03  3.59e+04  3.76e+04	 0.00 -6.76	 0.7692 -0.7018 -0.9912	
13.453624 61.032778	1.74e+03  3.59e+04  3.76e+04	 0.00 6.43	 0.7495 0.8040 0.9795	
13.453624 61.032778	1.82e+03  3.59e+04  3.76e+04	 0.00 -4.95	 -0.1614 -0.1194 0.9984	
13.453624 61.032778	4.04e+02  3.73e+04  3.76e+04	 0.00 11.16	 0.4851 0.1284 0.4123	
13.453624 61.032778	1.49e+02  3.75e+04  3.76e+04	 0.00 5.82	 0.9077 0.7281 0.7019	
13.453624 61.032778	1.65e+03  3.60e+04  3.76e+04	 0.00 3.43	 0.8241 -0.7686 -0.9958	
13.453624 61.032778	8.32e+02  3.68e+04  3.76e+04	 0.00 -3.00	 0.1865 -0.0402 -0.9891	
13.453624 61.032778	9.43e+02  3.68e+04  3.75e+04	 0.00 9.34	 0.4153 0.5960 0.9418	
13.453624 61.032778	1.99e+03  3.61e+04  3.72e+04	 0.00 -21.22	 -0.7843 0.3857 -0.7750	
13.453624 61.032778	2.01e+03  3.60e+04  3.73e+04	 0.00 15.73	 -0.5628 0.6307 -0.9469	
13.453624 61.032778	9.88e+02  3.68e+04  3.75e+04	 0.00 -7.76	 0.9891 0.9919 0.9982	
13.453624 61.032778	3.70e+02  3.73e+04  3.76e+04	 0.00 -0.18	 0.1893 -0.1815 -1.0000	
13.453624 61.032778	1.74e+03  3.60e+04  3.76e+04	 0.00 15.10	 0.1084 -0.1474 0.8419	
13.453624 61.032778	2.15e+03  3.59e+04  3.72e+04	 0.00 16.75	 0.1817 -0.1623 -0.9381	
13.453624 61.032778	1.72e+03  3.63e+04  3.72e+04	 0.00 -19.71	 0.9935 0.6753 0.6808	
13.453624 61.032778	9.60e+02  3.69e+04  3.74e+04	 0.00 20.65	 -0.2395 -0.3437 -0.2881	
13.453624 61.032778	1.82e+03  3.58e+04  3.76e+04	 0.00 -3.02	 0.1056 -0.0924 -0.9995	
13.453624 61.032778	1.53e+03  3.61e+04  3.76e+04	 0.00 -2.92	 -0.3070 0.3888 -0.9959	
13.453624 61.032778	1.03e+03  3.66e+04  3.76e+04	 0.00 -3.38	 0.8492 -0.8415 -0.9998	
13.453624 61.032778	1.66e+03  3.60e+04  3.76e+04	 0.00 5.43	 -0.1494 0.0308 -0.9890	
13.453624 61.032778	1.85e+03  3.59e+04  3.76e+04	 0.00 -6.31	 -0.7953 -0.7869 0.9984	
13.453624 61.032778	1.19e+03  3.66e+04  3.75e+04	 0.00 8.28	 0.8713 -0.8458 -0.9987	
13.453624 61.032778	6.20e+01  3.76e+04  3.76e+04	 0.00 -2.59	 0.4456 -0.5165 -0.9967	
13.453624 61.032778	1.94e+03  3.57e+04  3.76e+04	 0.00 2.70	 0.5222 -0.5932 -0.9963	
13.453624 61.032778	1.78e+03  3.63e+04  3.73e+04	 0.00 20.81	 0.7764 -0.2950 -0.7932	
13.453624 61.032778	5.38e+02  3.72e+04  3.75e+04	 0.00 -11.00	 0.3605 0.3398 -0.7101	
13.453624 61.032778	1.09e+03  3.66e+04  3.76e+04	 0.00 2.13	 0.7462 0.7273 0.9987	
13.453624 61.032778	1.88e+03  3.60e+04  3.74e+04	 0.00 22.18	 0.8398 0.2465 0.6452	
13.453624 61.032778	1.50e+03  3.65e+04  3.73e+04	 0.00 13.99	 0.2065 -0.3742 -0.9366	
13.453624 61.032778	1.97e+03  3.57e+04  3.76e+04	 0.00 -6.88	 0.8551 -0.7850 -0.9748	
13.453624 61.032778	1.74e+03  3.59e+04  3.76e+04	 0.00 4.95	 0.2909 -0.2082 -0.9904	
13.453624 61.032778	1.61e+02  3.75e+04  3.76e+04	 0.00 4.42	 -0.7007 -0.4771 0.9339	
13.453624 61.032778	1.55e+03  3.61e+04  3.76e+04	 0.00 6.94	 0.9771 0.9972 0.9772	
13.453624 61.032778	9.45e+02  3.70e+04  3.73e+04	 0.00 13.42	 0.8884 0.5419 0.8546	
13.453624 61.032778	8.17e+02  3.69e+04  3.75e+04	 0.00 -6.22	 0.9753 0.9818 0.9993	
13.453624 61.032778	9.54e+02  3.67e+04  3.76e+04	 0.00 -1.54	 0.4197 -0.4705 -0.9984	
13.453624 61.032778	1.47e+03  3.62e+04  3.76e+04	 0.00 1.68	 0.8358 0.8433 0.9999	
13.453624 61.032778	1.51e+03  3.61e+04  3.76e+04	 0.00 5.92	 0.8069 -0.6739 -0.9802	
13.453624 61.032778	1.18e+03  3.66e+04  3.75e+04	 0.00 -21.72	 0.0971 0.4910 -0.5066	
13.453624 61.032778	1.62e+02  3.75e+04  3.76e+04	 0.00 -5.39	 -0.4071 0.6116 -0.9492	
13.453624 61.032778	2.15e+03  3.59e+04  3.73e+04	 0.00 15.29	 0.9252 0.9010 0.9646	
13.453624 61.032778	8.24e+02  3.69e+04  3.75e+04	 0.00 9.92	 -0.2155 -0.0627 -0.9602	
13.453624 61.032778	1.93e+03  3.60e+04  3.74e+04	 0.00 12.62	 -0.1813 0.4359 -0.9615	
13.453624 61.032778	1.80e+03  3.63e+04  3.72e+04	 0.00 18.74	 -0.5899 -0.8810 0.8605	
